Transaction_ID,Date,Customer_Name,Region,Industry,Product,Quantity,Unit_Price,Total_Value,Sales_Rep,Lead_Source,Deal_Stage,Probability
TXN-1000,2025-10-30,"Jacobs, Evans and Snyder",LATAM,Finance,Enterprise Pack,3,50000,150000,Sarah Miller,Event,Closed Won,100
TXN-1001,2025-11-02,Smith LLC,Asia Pacific,Retail,SaaS License Basic,12,500,6000,James Carter,Event,Closed Won,100
TXN-1002,2025-10-20,Dominguez-Cooper,LATAM,Retail,SaaS License Pro,5,1200,6000,Elena Rodriguez,Cold Call,Proposal,50
TXN-1003,2025-10-26,Johnson-Patrick,Asia Pacific,Healthcare,AI Module Addon,9,15000,135000,David Kim,LinkedIn,Negotiation,75
TXN-1004,2025-11-06,Martin-Howard,Asia Pacific,Tech,SaaS License Basic,1,500,500,Sarah Miller,Cold Call,Discovery,20
TXN-1005,2025-08-30,"Murray, Armstrong and Gonzalez",North America,Manufacturing,SaaS License Basic,12,500,6000,David Kim,LinkedIn,Discovery,20
TXN-1006,2025-09-08,"Ramirez, Cooper and Mason",LATAM,Tech,Consulting Hours,19,150,2850,Elena Rodriguez,LinkedIn,Closed Won,100
TXN-1007,2025-11-14,Burch-Martin,LATAM,Healthcare,Enterprise Pack,13,50000,650000,James Carter,Referral,Closed Lost,0
TXN-1008,2025-09-05,Silva-Fernandez,Asia Pacific,Retail,Consulting Hours,2,150,300,James Carter,Website,Negotiation,75
TXN-1009,2025-10-27,"King, Harmon and Krueger",North America,Healthcare,Enterprise Pack,2,50000,100000,Elena Rodriguez,LinkedIn,Closed Won,100
TXN-1010,2025-08-30,Santiago Inc,Asia Pacific,Manufacturing,AI Module Addon,13,15000,195000,James Carter,Website,Negotiation,75
TXN-1011,2025-10-05,Nunez and Sons,Europe,Tech,AI Module Addon,7,15000,105000,Elena Rodriguez,Referral,Closed Won,100
TXN-1012,2025-10-03,Walters PLC,North America,Tech,Consulting Hours,5,150,750,David Kim,Referral,Closed Won,100
TXN-1013,2025-10-27,Donaldson-Becker,North America,Finance,AI Module Addon,15,15000,225000,James Carter,Referral,Discovery,20
TXN-1014,2025-09-11,"Hicks, Gonzalez and Harris",Asia Pacific,Retail,Consulting Hours,2,150,300,James Carter,Website,Qualifying,20
TXN-1015,2025-08-31,"Wood, Palmer and Meyer",LATAM,Tech,SaaS License Pro,5,1200,6000,David Kim,Referral,Negotiation,75
TXN-1016,2025-11-17,Martin Group,Asia Pacific,Manufacturing,Enterprise Pack,9,50000,450000,James Carter,Event,Closed Lost,0
TXN-1017,2025-10-15,Sandoval and Sons,Asia Pacific,Healthcare,Enterprise Pack,15,50000,750000,Elena Rodriguez,Website,Qualifying,20
TXN-1018,2025-09-13,"Patterson, Wise and Morgan",North America,Healthcare,SaaS License Pro,17,1200,20400,David Kim,Event,Qualifying,20
TXN-1019,2025-09-08,Jones-Cook,North America,Retail,AI Module Addon,2,15000,30000,David Kim,Website,Proposal,50
TXN-1020,2025-10-04,"Wilkerson, Russell and Elliott",Europe,Retail,SaaS License Pro,3,1200,3600,Elena Rodriguez,Referral,Closed Lost,0
TXN-1021,2025-11-21,Webb-Howard,Asia Pacific,Healthcare,Enterprise Pack,4,50000,200000,Sarah Miller,Referral,Closed Lost,0
TXN-1022,2025-09-22,Moreno Group,North America,Manufacturing,Enterprise Pack,16,50000,800000,Sarah Miller,Event,Proposal,50
TXN-1023,2025-09-18,Lee LLC,Asia Pacific,Manufacturing,Enterprise Pack,7,50000,350000,Elena Rodriguez,Referral,Proposal,50
TXN-1024,2025-10-10,"Thompson, Doyle and Delacruz",Asia Pacific,Finance,AI Module Addon,18,15000,270000,David Kim,Website,Closed Won,100
TXN-1025,2025-10-28,Johnson-Davis,Asia Pacific,Retail,Consulting Hours,10,150,1500,Elena Rodriguez,LinkedIn,Discovery,20
TXN-1026,2025-09-14,Johnston PLC,LATAM,Tech,SaaS License Basic,1,500,500,Elena Rodriguez,LinkedIn,Negotiation,75
TXN-1027,2025-10-10,"Lee, Walter and Kelly",Europe,Manufacturing,AI Module Addon,16,15000,240000,David Kim,Referral,Qualifying,20
TXN-1028,2025-08-27,"Pitts, Ward and Harris",LATAM,Retail,Consulting Hours,12,150,1800,Elena Rodriguez,Referral,Discovery,20
TXN-1029,2025-10-31,"Fox, Robinson and Smith",North America,Finance,Consulting Hours,18,150,2700,David Kim,Website,Discovery,20
TXN-1030,2025-09-02,"Ramirez, Patterson and Schwartz",North America,Tech,SaaS License Pro,16,1200,19200,Sarah Miller,Website,Negotiation,75
TXN-1031,2025-09-16,"Miller, Barrett and Washington",North America,Retail,Consulting Hours,12,150,1800,James Carter,LinkedIn,Closed Won,100
TXN-1032,2025-11-20,Tanner-Fields,Asia Pacific,Healthcare,Consulting Hours,19,150,2850,David Kim,Event,Qualifying,20
TXN-1033,2025-10-17,"Stevens, Clark and Williams",LATAM,Tech,Consulting Hours,3,150,450,James Carter,LinkedIn,Negotiation,75
TXN-1034,2025-11-09,Singh LLC,LATAM,Manufacturing,SaaS License Pro,7,1200,8400,Sarah Miller,Referral,Closed Won,100
TXN-1035,2025-09-21,"Jackson, West and White",Europe,Tech,AI Module Addon,16,15000,240000,James Carter,Cold Call,Closed Lost,0
TXN-1036,2025-09-19,Ballard-Tate,North America,Manufacturing,SaaS License Basic,17,500,8500,Sarah Miller,Event,Proposal,50
TXN-1037,2025-09-23,"Wade, Jones and Medina",North America,Finance,SaaS License Pro,13,1200,15600,Elena Rodriguez,Event,Proposal,50
TXN-1038,2025-09-12,Martinez PLC,LATAM,Manufacturing,SaaS License Basic,3,500,1500,Elena Rodriguez,Referral,Negotiation,75
